id,color,movie_title,duration,director_name,actor_1_name,actor_2_name,actor_3_name,movie_imdb_link,language,country,content_rating,year,imdb_score
27,Color,Battleship ,131,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,5.9
28,Color,Jurassic World ,124,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,7
29,Color,Skyfall ,143,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,PG-13,2012,7.8
30,Color,Spider-Man 2 ,135,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,PG-13,2004,7.3
31,Color,Iron Man 3 ,195,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7.2
32,Color,Alice in Wonderland ,108,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,USA,PG,2010,6.5
33,Color,X-Men: The Last Stand ,104,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,English,Canada,PG-13,2006,6.8
34,Color,Monsters University ,104,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,English,USA,G,2013,7.3
35,Color,Transformers: Revenge of the Fallen ,150,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,6
36,Color,Transformers: Age of Extinction ,165,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,5.7
37,Color,Oz the Great and Powerful ,130,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,English,USA,PG,2013,6.4
38,Color,The Amazing Spider-Man 2 ,142,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,6.7
39,Color,TRON: Legacy ,125,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,English,USA,PG,2010,6.8
40,Color,Cars 2 ,106,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,English,USA,G,2011,6.3
41,Color,Green Lantern ,123,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,5.6
42,Color,Toy Story 3 ,103,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,English,USA,G,2010,8.3
43,Color,Terminator Salvation ,118,McG,Christian Bale,Bryce Dallas Howard,Common,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,6.6
44,Color,Furious 7 ,140,James Wan,Jason Statham,Paul Walker,Vin Diesel,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,7.2
45,Color,World War Z ,123,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7
46,Color,X-Men: Days of Future Past ,149,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,8
47,Color,Star Trek Into Darkness ,132,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7.8
48,Color,Jack the Giant Slayer ,114,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,6.3
49,Color,The Great Gatsby ,143,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,Australia,PG-13,2013,7.3
50,Color,Prince of Persia: The Sands of Time ,116,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,6.6
51,Color,Pacific Rim ,131,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7
52,Color,Transformers: Dark of the Moon ,154,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,6.3
53,Color,Indiana Jones and the Kingdom of the Crystal Skull ,122,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.2
54,Color,The Good Dinosaur ,93,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,English,USA,PG,2015,6.8
55,Color,Brave ,93,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,English,USA,PG,2012,7.2
56,Color,Star Trek Beyond ,122,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,7.5
57,Color,WALL·E ,98,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,English,USA,G,2008,8.4
58,Color,Rush Hour 3 ,91,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,6.2
59,Color,2012,158,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,5.8
60,Color,A Christmas Carol ,96,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,English,USA,PG,2009,6.8
61,Color,Jupiter Ascending ,127,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,5.4
62,Color,The Legend of Tarzan ,110,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,6.6
63,Color,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,English,USA,PG,2005,6.9
64,Color,X-Men: Apocalypse ,144,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,7.3
65,Color,The Dark Knight ,152,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,9
66,Color,Up ,96,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,English,USA,PG,2009,8.3
67,Color,Monsters vs. Aliens ,94,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,English,USA,PG,2009,6.5
68,Color,Iron Man ,126,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,7.9
69,Color,Hugo ,126,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,English,USA,PG,2011,7.5
70,Color,Wild Wild West ,106,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,4.8
71,Color,The Mummy: Tomb of the Dragon Emperor ,112,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,5.2
72,Color,Suicide Squad ,123,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,6.9
73,Color,Evan Almighty ,96,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,English,USA,PG,2007,5.4
74,Color,Edge of Tomorrow ,113,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,7.9
75,Color,Waterworld ,176,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,English,USA,PG-13,1995,6.1
76,Color,G.I. Joe: The Rise of Cobra ,118,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,5.8
77,Color,Inside Out ,95,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,English,USA,PG,2015,8.3
78,Color,The Jungle Book ,106,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,English,UK,PG,2016,7.8
79,Color,Iron Man 2 ,124,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,7
80,Color,Snow White and the Huntsman ,132,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,6.1
81,Color,Maleficent ,97,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,English,USA,PG,2014,7
82,Color,Dawn of the Planet of the Apes ,130,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,7.6
83,Color,The Lovers ,109,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,English,Belgium,R,2015,4.5
84,Color,47 Ronin ,128,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,6.3
85,Color,Captain America: The Winter Soldier ,136,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,7.8
86,Color,Shrek Forever After ,93,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,English,USA,PG,2010,6.4
87,Color,Tomorrowland ,130,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,English,USA,PG,2015,6.5
88,Color,Big Hero 6 ,102,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,English,USA,PG,2014,7.9
89,Color,Wreck-It Ralph ,101,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,English,USA,PG,2012,7.8
90,Color,The Polar Express ,100,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,English,USA,G,2004,6.6
91,Color,Independence Day: Resurgence ,120,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,5.5
92,Color,How to Train Your Dragon ,98,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,English,USA,PG,2010,8.2
93,Color,Terminator 3: Rise of the Machines ,109,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,English,USA,R,2003,6.4
94,Color,Guardians of the Galaxy ,121,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,8.1
95,Color,Interstellar ,169,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,8.6
96,Color,Inception ,148,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,8.8
97,Color,Godzilla Resurgence ,120,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,Japanese,Japan,,2016,8.2
98,Color,The Hobbit: An Unexpected Journey ,182,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,7.9
99,Color,The Fast and the Furious ,106,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,6.7
100,Color,The Curious Case of Benjamin Button ,166,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,7.8
101,Color,X-Men: First Class ,132,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7.8
102,Color,The Hunger Games: Mockingjay - Part 2 ,137,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,6.6
103,Color,The Sorcerer's Apprentice ,109,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,English,USA,PG,2010,6.1
104,Color,Poseidon ,98,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,5.6
105,Color,Alice Through the Looking Glass ,113,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,English,USA,PG,2016,6.4
106,Color,Shrek the Third ,93,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,English,USA,PG,2007,6.1
107,Color,Warcraft ,123,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,7.3
108,Color,Terminator Genisys ,126,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,6.6
109,0,The Chronicles of Narnia: The Voyage of the Dawn Treader ,113,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,English,USA,PG,2010,6.3
110, Black and White,Pearl Harbor ,184,Michael Bay,Jennifer Garner,Jaime King,Mako,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,6.1
111,Color,Transformers ,144,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,7.1
112,Color,Alexander ,206,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,English,Germany,R,2004,5.5
113,Color,Harry Potter and the Order of the Phoenix ,138,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,English,UK,PG-13,2007,7.5
114,Color,Harry Potter and the Goblet of Fire ,157,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,English,UK,PG-13,2005,7.6
115,Color,Hancock ,102,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.4
116,Color,I Am Legend ,104,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,7.2
117,Color,Charlie and the Chocolate Factory ,115,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,English,USA,PG,2005,6.7
118,Color,Ratatouille ,111,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,English,USA,G,2007,8
119,Color,Batman Begins ,128,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,8.3
120,Color,Madagascar: Escape 2 Africa ,89,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,English,USA,PG,2008,6.7
121,Color,Night at the Museum: Battle of the Smithsonian ,105,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,English,USA,PG,2009,5.9
122,Color,X-Men Origins: Wolverine ,119,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,6.7
123,Color,The Matrix Revolutions ,129,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,English,Australia,R,2003,6.7
124,Color,Frozen ,102,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,English,USA,PG,2013,7.6
125,Color,The Matrix Reloaded ,138,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,English,USA,R,2003,7.2
126,Color,Thor: The Dark World ,112,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7.1
127,Color,Mad Max: Fury Road ,120,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,English,Australia,R,2015,8.1
128,Color,Angels & Demons ,146,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,6.7
129,Color,Thor ,115,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7
130,Color,Bolt ,96,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,English,USA,PG,2008,6.9
131,Color,G-Force ,88,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,English,USA,PG,2009,5.1
132,Color,Wrath of the Titans ,99,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,5.8
133,Color,Dark Shadows ,113,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,6.2
134,Color,Mission: Impossible - Rogue Nation ,131,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,English,China,PG-13,2015,7.4
